-100,0 -25,0 -24,0 -23,0 -22,0 -21,0 -20,0 -19,0 -18,0 -17,0 -16,0 -15,0 -14,0 -13,0 -12,0 -11,0 -10,0 -9,0 -8,0 -7,0 -6,0 -5,0 -4,0 -3,0 -2,0 -1,0 0,0 1,0 2,0 3,0 4,0 5,0 6,0 7,0 8,0 9,0 10,0 11,0 12,0 13,0 14,0 15,0 16,0 17,0 18,0 19,0 20,0 21,0 22,0 23,0 24,0
1,0 20,31824698442809 20,318865279873606 20,34728121835954 20,379811259720867 20,41373772875753 20,44890368770188 20,48512314757923 20,522181686168068 20,5598377042346 20,597824339893204 20,63585204347019 20,673611796397555 20,710778938039468 20,747017544632143 20,781985285419122 20,81533866332576 20,8467385318585 20,875855767007845 20,9023769633664 20,926010017923566 20,94648946340985 20,96358141582457 20,977088007915214 20,986851191738015 20,992755808703162 20,99473184422538 20,992755805651615 20,986851185800173 20,9770879994097 20,963581405200614 20,94648945121572 20,92601000476889 20,902376949881592 20,87585575380394 20,84673851949054 20,815338652262405 20,78198527602038 20,747017537136422 20,710778932560107 20,67361179292829 20,635852041898296 20,597824340018438 20,559837705791942 20,52218168885206 20,485123151067903 20,448903691678506 20,413737732928926 20,379811263831375 20,34861965125241 20,333763441542487
2,0 20,352438361792334 20,342032885276243 20,35072027654614 20,379842813451955 20,413220126274318 20,44790048429758 20,483582469944643 20,520054304914524 20,557078251638824 20,59439255300287 20,631713999291126 20,668741102533705 20,70515783986624 20,740637909108138 20,774849422198685 20,8074599460873 20,838141786796264 20,866577401236132 20,892464813439485 20,915522907552663 20,935496469424486 20,952160852049644 20,96532614741405 20,97484075825972 20,980594277617875 20,982519601210143 20,980594217450133 20,974840641168523 20,965325979655578 20,952160642447783 20,93549622875362 20,915522647800767 20,892464547013493 20,866577140174424 20,83814154204937 20,807459726918854 20,774849235745155 20,740637760119647 20,7051577306337 20,66874103299142 20,631713967270123 20,594392554600322 20,557078281662797 20,52005435736176 20,483582538471556 20,44790056265022 20,413280874026533 20,381415987933746 20,36218636789764 20,36315149682501
3,0 20,371475413726788 20,378583205822988 20,36957702246821 20,38285293618313 20,41259113153461 20,446298571735266 20,481136953541807 20,516694753045993 20,552735079960662 20,58900420573738 20,62522883956072 20,661119226802203 20,696372757068573 20,730678024076457 20,763719264364767 20,795181088356124 20,82475340602303 20,85213644083892 20,877045720127267 20,899216927577267 20,918410504660564 20,934415891934183 20,947055308608707 20,956186979061474 20,96170772786013 20,963554879943235 20,961707419440785 20,956186378730386 20,947054448209574 20,934414816405873 20,918409268920804 20,89921559279646 20,87704434970322 20,852135096397454 20,824752143753066 20,79517995594305 20,76371829871965 20,730677249977873 20,696372186748494 20,661118860425518 20,625228666478133 20,58900420633871 20,55273522792404 20,51669501776878 20,48114004953681 20,44641075094718 20,414198705204555 20,39243866394714 20,39050036388066 20,39149823800469
4,0 20,39884570846263 20,40333787599077 20,404168818992957 20,398295083112714 20,41444568883134 20,444340241536416 20,47776848887671 20,51208228737104 20,546799971690234 20,581666073587467 20,616420497139092 20,650789284497726 20,684487794607104 20,717224493299142 20,74870504714648 20,778636640574057 20,80673242771675 20,83271602501426 20,85632594770912 20,877319893298154 20,895478777519774 20,910610433485026 20,922552891860207 20,93117716930828 20,936389503392867 20,93813298452274 20,93638854894561 20,93117531097081 20,922550227204628 20,91060710031828 20,89547494444196 20,877315748391677 20,856321686288045 20,83271183741093 20,806728488038036 20,778633097232447 20,748702015776058 20,717222052428426 20,684485984204137 20,650788107255394 20,616419922153316 20,581666041916186 20,546800527411982 20,5120899748172 20,47791843129005 20,445915323208524 20,4227482604421 20,417908948571245 20,420683939020876 20,417912583582527
5,0 20,431596042833768 20,424199284436245 20,433228941959708 20,429485262807184 20,426550415900703 20,44432344162166 20,47375071318463 20,506212373311985 20,539264675145066 20,572389326214896 20,605323113224504 20,637811008458502 20,66959058347283 20,700394747306774 20,729955398451327 20,758007232728204 20,7842916199182 20,808560470426904 20,83058001323098 20,850134408367598 20,867029121118648 20,881093990553573 20,89218593195761 20,900191220610278 20,905027313131054 20,906644171944833 20,905025068143786 20,900186847979093 20,892179658282856 20,88108613619823 20,86702007859604 20,850124616388307 20,830569928502246 20,808550539416686 20,784282252712007 20,757998780834885 20,72994813798881 20,700388868468963 20,669586186601403 20,637808106477422 20,605321645304 20,572389541467867 20,53927698680904 20,506388541556184 20,4752660120545 20,451655917512866 20,444656987894977 20,448468097457507 20,445819482826717 20,44499780690549
6,0 20,453331582975366 20,45509067087744 20,452065743383894 20,460319438600266 20,453567720054977 20,452820524469978 20,471130491685496 20,49938256000562 20,530150394309874 20,56119275453397 20,591982437740242 20,62226156659068 20,651792412790293 20,68033635119041 20,70765569405226 20,733516867729403 20,757693629895343 20,779970228557417 20,800144443940972 20,818030458543465 20,833461505427188 20,84629225033738 20,85640086922355 20,863690788969475 20,86809206541093 20,86956237890606 20,868087633749884 20,863682153570267 20,856388470535553 20,846276711801078 20,83344359219659 20,818011027777974 20,80012439058623 20,779950430784158 20,757674898242076 20,733499901521064 20,707641047901518 20,680324413413825 20,651783396745657 20,622255534557876 20,591980008602242 20,561207798912918 20,53034294252118 20,50082573855178 20,4776847848135 20,469458899947227 20,473903710204258 20,473328513536426 20,470767945015456 20,471461853656827
7,0 20,476124274223473 20,481680932251077 20,47731861569176 20,47918722574868 20,483945169333044 20,475074606820957 20,47558410329192 20,49343562323886 20,51978055641147 20,54813655822783 20,576459548067255 20,604236467418207 20,631228201733073 20,657225976377685 20,682025891318677 20,705429501290894 20,727246226803018 20,747295747493272 20,7654102599471 20,781436565903213 20,79523796376455 20,806695921287645 20,81571151198952 20,822206602043735 20,826124778140912 20,82743200993086 20,82611704326969 20,82219152264824 20,81568984299962 20,806668732728532 20,7952065714429 20,781402447671685 20,76537496397736 20,74726079944665 20,727213042648934 20,705399311814542 20,681999683172496 20,65720445402604 20,631211814529046 20,604226454570707 20,57647275904787 20,548335720992295 20,521144751353823 20,499340261191275 20,490856132644552 20,495952490602797 20,498420031408383 20,4952291090186 20,496721645487675 20,496099322549608
8,0 20,50527835672462 20,500135735729902 20,50566233134437 20,498612950705862 20,50315019159217 20,503198325105988 20,492549483037227 20,493353075994747 20,509837499105487 20,53357734772814 20,5588667757292 20,58385318233338 20,608056353736373 20,631267960497244 20,653317808018002 20,674044935290482 20,693296736273034 20,710930417004747 20,72681444631519 20,740829854222945 20,752871367498848 20,76284838052451 20,770685762624318 20,776324505117596 20,77972221253475 20,780853442824895 20,779709901053376 20,776300490179967 20,770651221187908 20,762804983284646 20,75282117331779 20,740775182153403 20,72675773475511 20,71087408027965 20,693243028840147 20,673995832874482 20,653274915886627 20,631232525885657 20,608030614139732 20,583856631287066 20,55906126774562 20,534856420480146 20,515182504236083 20,507369912161057 20,51341551457627 20,519392934293705 20,517322499792552 20,51898062583129 20,51990657555456 20,519707519810304
9,0 20,526245794490013 20,524382090255337 20,524034514082913 20,524759308812712 20,517661705587688 20,522134586794646 20,517003333934333 20,504566139406442 20,504753815739456 20,519075783253083 20,53960301033663 20,561287348065186 20,582461651251883 20,602692619950325 20,62181184334739 20,639694076589656 20,656225793483006 20,671302805085247 20,68483070776111 20,69672540314952 20,706913506524558 20,71533264979047 20,7219316954793 20,72667087828473 20,729521889569416 20,730467918331858 20,729503659457222 20,726635296851764 20,72188046542503 20,715268191998202 20,70683881125381 20,696643848987563 20,684745861383057 20,671218216026695 20,65614479829192 20,639619630432332 20,621746493988038 20,602640095128972 20,582443975273737 20,561463385020126 20,540788961667488 20,523924877103212 20,517618107686708 20,52504792105538 20,534782247738327 20,535471264367622 20,537302268987546 20,540895180188887 20,540805900160642 20,541978851603393
